"ID","CSys ID","X","Y","Z","2..Simcenter NASTRAN Case 1, 3..T2 Translation"
1,0,0.00073948,0.,-0.004286,0.
2,0,0.0044091,0.,-0.006009,0.
3,0,0.008281,0.,-0.00717,0.
4,0,0.0122628,0.,-0.007933,0.
5,0,0.0162841,0.,-0.008446,0.
6,0,0.021,0.,-0.008771,0.
7,0,0.0243764,0.,-0.008985,0.
8,0,0.0284301,0.,-0.009026,0.
9,0,0.0324846,0.,-0.008933,0.
10,0,0.036537,0.,-0.008773,0.
11,0,0.0405835,0.,-0.008523,0.
12,0,0.0446254,0.,-0.008201,0.
13,0,0.048664,0.,-0.007833,0.
14,0,0.0526968,0.,-0.007407,0.
15,0,0.0567238,0.,-0.006926,0.
16,0,0.0607458,0.,-0.006401,0.
17,0,0.0647633,0.,-0.005842,0.
18,0,0.0687771,0.,-0.005258,0.
19,0,0.0727865,0.,-0.00465,0.
20,0,0.076789,0.,-0.004,0.
21,0,0.0807851,0.,-0.003311,0.
22,0,0.0847751,0.,-0.002586,0.
23,0,0.0887598,0.,-0.001831,0.
24,0,0.0927395,0.,-0.001049,0.
25,0,0.0927445,0.004,-0.001049,0.
26,0,0.0927496,0.008,-0.001049,0.
27,0,0.0927547,0.012,-0.001049,0.
28,0,0.0927598,0.016,-0.001049,0.
29,0,0.0927648,0.02,-0.001049,0.
30,0,0.0927699,0.024,-0.001049,0.
31,0,0.092775,0.028,-0.001049,0.
32,0,0.09278,0.032,-0.001049,0.
33,0,0.0927851,0.036,-0.001049,0.
34,0,0.0927902,0.04,-0.001049,0.
35,0,0.0927952,0.044,-0.001049,0.
36,0,0.0928003,0.048,-0.001049,0.
37,0,0.0928054,0.052,-0.001049,0.
38,0,0.0928105,0.056,-0.001049,0.
39,0,0.0928155,0.06,-0.001049,0.
40,0,0.0928206,0.064,-0.001048,0.
41,0,0.0928257,0.068,-0.001048,0.
42,0,0.0928307,0.072,-0.001048,0.
43,0,0.0928358,0.076,-0.001048,0.
44,0,0.0928409,0.08,-0.001048,0.
45,0,0.0928459,0.084,-0.001048,0.
46,0,0.092851,0.088,-0.001048,0.
47,0,0.0928561,0.092,-0.001048,0.
48,0,0.0928612,0.096,-0.001048,0.
49,0,0.0928662,0.1,-0.001048,0.
50,0,0.0928713,0.104,-0.001048,0.
51,0,0.0928764,0.108,-0.001048,0.
52,0,0.0928814,0.112,-0.001048,0.
53,0,0.0928865,0.116,-0.001048,0.
54,0,0.0928916,0.12,-0.001048,0.
55,0,0.0928967,0.124,-0.001048,0.
56,0,0.0929017,0.128,-0.001048,0.
57,0,0.0929068,0.132,-0.001048,0.
58,0,0.0929119,0.136,-0.001047,0.
59,0,0.0929169,0.14,-0.001047,0.
60,0,0.092922,0.144,-0.001047,0.
61,0,0.0929271,0.148,-0.001047,0.
62,0,0.0929321,0.152,-0.001047,0.
63,0,0.0929372,0.156,-0.001047,0.
64,0,0.0929423,0.16,-0.001047,0.
65,0,0.0929474,0.164,-0.001047,0.
66,0,0.0929524,0.168,-0.001047,0.
67,0,0.0929575,0.172,-0.001047,0.
68,0,0.0929626,0.176,-0.001047,0.
69,0,0.0929676,0.18,-0.001047,0.
70,0,0.0929727,0.184,-0.001047,0.
71,0,0.0929778,0.188,-0.001047,0.
72,0,0.0929828,0.192,-0.001047,0.
73,0,0.0929879,0.196,-0.001047,0.
74,0,0.092993,0.2,-0.001047,0.
75,0,0.0929981,0.204,-0.001046,0.
76,0,0.0930031,0.208,-0.001046,0.
77,0,0.0930082,0.212,-0.001046,0.
78,0,0.0930133,0.216,-0.001046,0.
79,0,0.0930183,0.22,-0.001046,0.
80,0,0.0930234,0.224,-0.001046,0.
81,0,0.0930285,0.228,-0.001046,0.
82,0,0.0930335,0.232,-0.001046,0.
83,0,0.0930386,0.236,-0.001046,0.
84,0,0.0930437,0.24,-0.001046,0.
85,0,0.0930488,0.244,-0.001046,0.
86,0,0.0930538,0.248,-0.001046,0.
87,0,0.0930589,0.252,-0.001046,0.
88,0,0.093064,0.256,-0.001046,0.
89,0,0.093069,0.26,-0.001046,0.
90,0,0.0930741,0.264,-0.001046,0.
91,0,0.0930792,0.268,-0.001046,0.
92,0,0.0930842,0.272,-0.001046,0.
93,0,0.0930893,0.276,-0.001045,0.
94,0,0.0930944,0.28,-0.001045,0.
95,0,0.0930995,0.284,-0.001045,0.
96,0,0.0931045,0.288,-0.001045,0.
145,0,0.0927547,0.06,0.0010324,0.
146,0,0.090943,0.06,0.0015475,0.
147,0,0.0884713,0.06,0.0020251,0.
148,0,0.0863726,0.06,0.0024194,0.
149,0,0.0836566,0.06,0.0029157,0.
150,0,0.0817435,0.06,0.0032563,0.
151,0,0.0768878,0.06,0.0040957,0.
152,0,0.0722288,0.06,0.0048461,0.
153,0,0.066,0.06,0.0058402,0.
154,0,0.0626032,0.06,0.0062427,0.
155,0,0.0589591,0.06,0.0067309,0.
156,0,0.0538281,0.06,0.0073374,0.
157,0,0.0484017,0.06,0.0079219,0.
158,0,0.0406055,0.06,0.0085275,0.
159,0,0.0321594,0.06,0.008955,0.
160,0,0.0274985,0.06,0.0090312,0.
161,0,0.0237366,0.06,0.0089197,0.
162,0,0.021,0.06,0.0087705,0.
163,0,0.0169356,0.06,0.0084825,0.
164,0,0.0147235,0.06,0.0082023,0.
165,0,0.010165,0.06,0.0074072,0.
166,0,0.0060064,0.06,0.0063118,0.
167,0,0.0035666,0.06,0.0053819,0.
168,0,0.00081046,0.06,0.0042695,0.
169,0,0.00085102,0.06,-0.004285,0.
170,0,0.003876,0.06,-0.005501,0.
171,0,0.0060232,0.06,-0.006335,0.
172,0,0.0078113,0.06,-0.006886,0.
173,0,0.0112559,0.06,-0.007624,0.
174,0,0.0168253,0.06,-0.008414,0.
175,0,0.021,0.06,-0.008771,0.
176,0,0.0261895,0.06,-0.009011,0.
177,0,0.0298833,0.06,-0.009013,0.
178,0,0.0358947,0.06,-0.008827,0.
179,0,0.0403149,0.06,-0.008582,0.
180,0,0.0463609,0.06,-0.008106,0.
181,0,0.0507418,0.06,-0.007679,0.
182,0,0.0567684,0.06,-0.006999,0.
183,0,0.0605457,0.06,-0.006524,0.
184,0,0.066,0.06,-0.00584,0.
185,0,0.0692809,0.06,-0.005287,0.
186,0,0.0736826,0.06,-0.004619,0.
187,0,0.078357,0.06,-0.003846,0.
188,0,0.0828786,0.06,-0.003054,0.
189,0,0.0857301,0.06,-0.002537,0.
190,0,0.0882791,0.06,-0.002062,0.
191,0,0.0902988,0.06,-0.001674,0.
192,0,0.,0.3,0.,0.
196,0,0.0931096,0.292,-0.001045,0.
207,0,0.0931147,0.296,-0.001045,0.
245,0,0.0927547,0.12,0.0010324,0.
246,0,0.090943,0.12,0.0015475,0.
247,0,0.0884713,0.12,0.0020251,0.
248,0,0.0863726,0.12,0.0024194,0.
249,0,0.0836566,0.12,0.0029157,0.
250,0,0.0817435,0.12,0.0032563,0.
251,0,0.0768878,0.12,0.0040957,0.
252,0,0.0722288,0.12,0.0048461,0.
253,0,0.066,0.12,0.0058402,0.
254,0,0.0626032,0.12,0.0062427,0.
255,0,0.0589591,0.12,0.0067309,0.
256,0,0.0538281,0.12,0.0073374,0.
257,0,0.0484017,0.12,0.0079219,0.
258,0,0.0406055,0.12,0.0085275,0.
259,0,0.0321594,0.12,0.008955,0.
260,0,0.0274985,0.12,0.0090312,0.
261,0,0.0237366,0.12,0.0089197,0.
262,0,0.021,0.12,0.0087705,0.
263,0,0.0169356,0.12,0.0084825,0.
264,0,0.0147235,0.12,0.0082023,0.
265,0,0.010165,0.12,0.0074072,0.
266,0,0.0060064,0.12,0.0063118,0.
267,0,0.0035666,0.12,0.0053819,0.
268,0,0.00088651,0.12,0.0042704,0.
269,0,0.00085102,0.12,-0.004285,0.
270,0,0.003876,0.12,-0.005501,0.
271,0,0.0060232,0.12,-0.006335,0.
272,0,0.0078113,0.12,-0.006886,0.
273,0,0.0112559,0.12,-0.007624,0.
274,0,0.0168253,0.12,-0.008414,0.
275,0,0.021,0.12,-0.008771,0.
276,0,0.0261895,0.12,-0.009011,0.
277,0,0.0298833,0.12,-0.009013,0.
278,0,0.0358947,0.12,-0.008827,0.
279,0,0.0403149,0.12,-0.008582,0.
280,0,0.0463609,0.12,-0.008106,0.
281,0,0.0507418,0.12,-0.007679,0.
282,0,0.0567684,0.12,-0.006999,0.
283,0,0.0605457,0.12,-0.006524,0.
284,0,0.066,0.12,-0.00584,0.
285,0,0.0692809,0.12,-0.005287,0.
286,0,0.0736826,0.12,-0.004619,0.
287,0,0.078357,0.12,-0.003846,0.
288,0,0.0828786,0.12,-0.003054,0.
289,0,0.0931197,0.3,-0.001045,0.
290,0,0.0931248,0.304,-0.001045,0.
291,0,0.0931299,0.308,-0.001045,0.
292,0,0.0931349,0.312,-0.001045,0.
293,0,0.09314,0.316,-0.001045,0.
294,0,0.0931451,0.32,-0.001045,0.
295,0,0.0931502,0.324,-0.001045,0.
296,0,0.0931552,0.328,-0.001045,0.
297,0,0.0931603,0.332,-0.001045,0.
298,0,0.0931654,0.336,-0.001045,0.
299,0,0.0931704,0.34,-0.001045,0.
300,0,0.0931755,0.344,-0.001044,0.
301,0,0.0931806,0.348,-0.001044,0.
302,0,0.0931857,0.352,-0.001044,0.
303,0,0.0931907,0.356,-0.001044,0.
