Format Version,1.23,Take Name,State02_GVT_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2020-08-16 12.46.10.427 PM,Total Frames in Take,4857,Total Exported Frames,4857,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.280052,0.217888,-0.182240,-0.280007,0.217909,-0.123632,-0.279966,0.217057,-0.062612,-0.279167,0.215701,-0.002984,-0.278596,0.214364,0.062103,-0.278328,0.212948,0.118855,-0.278096,0.210555,0.179870,-0.277970,0.208144,0.237898,-0.277324,0.205208,0.300468,-0.276386,0.201691,0.357647,-0.278552,0.199908,0.402103,-0.237093,0.216614,-0.190101,-0.236737,0.216765,-0.127787,-0.235956,0.216164,-0.070220,-0.235963,0.214839,-0.006079,-0.235208,0.213445,0.054436,-0.235119,0.211955,0.115468,-0.235507,0.209242,0.184826,-0.234884,0.207735,0.227784,-0.235322,0.204978,0.293406,-0.234194,0.201772,0.352655,-0.233166,0.198772,0.405919,-0.255562,0.270167,-0.220245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.029167,-0.280013,0.217854,-0.182265,-0.279988,0.217896,-0.123639,-0.279958,0.217050,-0.062621,-0.279134,0.215683,-0.002977,-0.278576,0.214317,0.062090,-0.278319,0.212903,0.118844,-0.278067,0.210530,0.179865,-0.277951,0.208122,0.237890,-0.277317,0.205179,0.300457,-0.276355,0.201672,0.357634,-0.278540,0.199886,0.402093,-0.237086,0.216601,-0.190118,-0.236721,0.216722,-0.127805,-0.235926,0.216118,-0.070246,-0.235949,0.214822,-0.006082,-0.235192,0.213404,0.054417,-0.235092,0.211912,0.115457,-0.235487,0.209214,0.184821,-0.234858,0.207705,0.227760,-0.235311,0.204930,0.293381,-0.234174,0.201733,0.352630,-0.233093,0.198633,0.405819,-0.255510,0.270083,-0.220282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033333,-0.279989,0.217792,-0.182301,-0.279982,0.217829,-0.123653,-0.279954,0.217005,-0.062631,-0.279122,0.215600,-0.003020,-0.278547,0.214255,0.062067,-0.278293,0.212867,0.118838,-0.278054,0.210492,0.179856,-0.277937,0.208103,0.237882,-0.277304,0.205130,0.300434,-0.276334,0.201624,0.357608,-0.278545,0.199887,0.402035,-0.237083,0.216566,-0.190137,-0.236706,0.216660,-0.127827,-0.235900,0.216046,-0.070272,-0.235927,0.214769,-0.006105,-0.235177,0.213343,0.054405,-0.235060,0.211845,0.115435,-0.235470,0.209186,0.184814,-0.234842,0.207651,0.227754,-0.235282,0.204888,0.293374,-0.234142,0.201671,0.352607,-0.233059,0.198584,0.405798,-0.255508,0.270026,-0.220307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.037500,-0.280012,0.217810,-0.182296,-0.279987,0.217831,-0.123656,-0.279962,0.217020,-0.062617,-0.279120,0.215611,-0.003031,-0.278558,0.214249,0.062047,-0.278303,0.212863,0.118819,-0.278048,0.210500,0.179852,-0.277930,0.208107,0.237888,-0.277314,0.205145,0.300431,-0.276348,0.201647,0.357606,-0.278522,0.199849,0.402069,-0.237089,0.216546,-0.190145,-0.236717,0.216658,-0.127832,-0.235917,0.216052,-0.070275,-0.235931,0.214785,-0.006098,-0.235175,0.213368,0.054394,-0.235074,0.211871,0.115428,-0.235485,0.209186,0.184809,-0.234849,0.207663,0.227747,-0.235285,0.204899,0.293376,-0.234163,0.201700,0.352601,-0.233075,0.198601,0.405800,-0.255526,0.270030,-0.220303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.041667,-0.280015,0.217905,-0.182236,-0.280001,0.217895,-0.123641,-0.279966,0.217059,-0.062606,-0.279145,0.215687,-0.002991,-0.278579,0.214328,0.062074,-0.278308,0.212933,0.118840,-0.278064,0.210558,0.179873,-0.277938,0.208128,0.237892,-0.277308,0.205207,0.300471,-0.276361,0.201672,0.357613,-0.278565,0.199927,0.402023,-0.237106,0.216597,-0.190139,-0.236737,0.216742,-0.127792,-0.235945,0.216126,-0.070239,-0.235951,0.214830,-0.006073,-0.235196,0.213442,0.054425,-0.235101,0.211926,0.115451,-0.235493,0.209229,0.184806,-0.234863,0.207709,0.227768,-0.235305,0.204961,0.293384,-0.234175,0.201740,0.352613,-0.233140,0.198767,0.405897,-0.255566,0.270178,-0.220240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.045833,-0.280043,0.217918,-0.182231,-0.280006,0.217924,-0.123631,-0.279987,0.217056,-0.062630,-0.279176,0.215705,-0.002990,-0.278592,0.214354,0.062095,-0.278328,0.212922,0.118838,-0.278077,0.210544,0.179862,-0.277952,0.208151,0.237907,-0.277335,0.205199,0.300453,-0.276369,0.201676,0.357613,-0.278588,0.199944,0.402022,-0.237126,0.216599,-0.190123,-0.236758,0.216759,-0.127802,-0.235966,0.216151,-0.070226,-0.235963,0.214860,-0.006065,-0.235209,0.213455,0.054432,-0.235121,0.211942,0.115466,-0.235501,0.209229,0.184815,-0.234877,0.207723,0.227785,-0.235311,0.204967,0.293399,-0.234193,0.201776,0.352625,-0.233163,0.198765,0.405889,-0.255587,0.270162,-0.220256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.050000,-0.280018,0.217862,-0.182253,-0.279985,0.217879,-0.123636,-0.279961,0.217040,-0.062610,-0.279145,0.215677,-0.002985,-0.278564,0.214327,0.062087,-0.278298,0.212895,0.118842,-0.278062,0.210516,0.179853,-0.277942,0.208132,0.237898,-0.277316,0.205162,0.300463,-0.276348,0.201646,0.357615,-0.278562,0.199917,0.402016,-0.237133,0.216550,-0.190152,-0.236740,0.216727,-0.127795,-0.235924,0.216107,-0.070243,-0.235936,0.214813,-0.006072,-0.235191,0.213419,0.054429,-0.235094,0.211918,0.115450,-0.235481,0.209213,0.184809,-0.234850,0.207678,0.227768,-0.235298,0.204921,0.293394,-0.234155,0.201722,0.352619,-0.233078,0.198631,0.405802,-0.255572,0.270119,-0.220266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054167,-0.280009,0.217781,-0.182296,-0.279972,0.217835,-0.123658,-0.279956,0.216992,-0.062614,-0.279133,0.215595,-0.003019,-0.278550,0.214250,0.062056,-0.278307,0.212853,0.118824,-0.278049,0.210461,0.179851,-0.277938,0.208083,0.237874,-0.277305,0.205108,0.300432,-0.276337,0.201602,0.357594,-0.278543,0.199861,0.402007,-0.237093,0.216542,-0.190135,-0.236714,0.216658,-0.127824,-0.235912,0.216031,-0.070280,-0.235930,0.214763,-0.006099,-0.235170,0.213341,0.054395,-0.235070,0.211849,0.115425,-0.235494,0.209160,0.184810,-0.234850,0.207627,0.227741,-0.235287,0.204869,0.293374,-0.234147,0.201673,0.352601,-0.233064,0.198576,0.405788,-0.255526,0.270004,-0.220329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,-0.280027,0.217810,-0.182284,-0.279998,0.217837,-0.123651,-0.279960,0.217003,-0.062599,-0.279130,0.215618,-0.003015,-0.278569,0.214249,0.062053,-0.278307,0.212860,0.118815,-0.278070,0.210482,0.179840,-0.277948,0.208098,0.237879,-0.277303,0.205126,0.300433,-0.276342,0.201617,0.357605,-0.278550,0.199884,0.402025,-0.237134,0.216522,-0.190169,-0.236730,0.216684,-0.127808,-0.235935,0.216050,-0.070267,-0.235933,0.214773,-0.006093,-0.235187,0.213350,0.054397,-0.235098,0.211855,0.115422,-0.235486,0.209172,0.184814,-0.234855,0.207641,0.227749,-0.235299,0.204870,0.293366,-0.234148,0.201675,0.352603,-0.233072,0.198591,0.405801,-0.255532,0.270030,-0.220321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.062500,-0.280036,0.217869,-0.182259,-0.280003,0.217901,-0.123635,-0.279977,0.217047,-0.062610,-0.279162,0.215678,-0.002994,-0.278583,0.214317,0.062084,-0.278316,0.212910,0.118831,-0.278077,0.210527,0.179866,-0.277953,0.208114,0.237884,-0.277328,0.205162,0.300435,-0.276365,0.201661,0.357611,-0.278572,0.199940,0.402035,-0.237109,0.216584,-0.190136,-0.236743,0.216759,-0.127790,-0.235948,0.216133,-0.070221,-0.235956,0.214823,-0.006081,-0.235199,0.213416,0.054415,-0.235105,0.211922,0.115455,-0.235499,0.209215,0.184811,-0.234866,0.207698,0.227755,-0.235317,0.204933,0.293381,-0.234173,0.201742,0.352619,-0.233147,0.198744,0.405888,-0.255591,0.270145,-0.220275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
