"ID","CSys ID","X","Y","Z","1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
77,0,0.0930082,0.212,-0.001046,-0.0254932,0.0000548216,0.402205
78,0,0.0930133,0.216,-0.001046,-0.0248783,0.000589912,0.40418
79,0,0.0930183,0.22,-0.001046,-0.0216953,0.00122626,0.391617
80,0,0.0930234,0.224,-0.001046,-0.0161009,0.0019543,0.365242
81,0,0.0930285,0.228,-0.001046,-0.00876777,0.00277249,0.328587
82,0,0.0930335,0.232,-0.001046,-0.00163417,0.00369859,0.291925
83,0,0.0930386,0.236,-0.001046,0.00172438,0.00476882,0.273654
84,0,0.0930437,0.24,-0.001046,0.000381615,0.00596108,0.281631
85,0,0.0930488,0.244,-0.001046,-0.00157918,0.00493706,0.292668
86,0,0.0930538,0.248,-0.001046,0.000289244,0.0039253,0.280925
87,0,0.0930589,0.252,-0.001046,0.00588905,0.0030014,0.251273
88,0,0.093064,0.256,-0.001046,0.0121224,0.00218917,0.219426
89,0,0.093069,0.26,-0.001046,0.017285,0.00147546,0.194319
90,0,0.0930741,0.264,-0.001046,0.0207082,0.000859789,0.179426
91,0,0.0930792,0.268,-0.001046,0.022137,0.000350462,0.17597
92,0,0.0930842,0.272,-0.001046,0.0216859,-0.0000456248,0.183166
93,0,0.0930893,0.276,-0.001045,0.0196365,-0.000328277,0.199295
94,0,0.0930944,0.28,-0.001045,0.0163756,-0.000488256,0.2221
95,0,0.0930995,0.284,-0.001045,0.012333,-0.000529714,0.249058
96,0,0.0931045,0.288,-0.001045,0.00799915,-0.000454322,0.277324
97,0,0.021,0.048,0.,-0.000276248,-0.0000422797,-0.00212737
98,0,0.021,0.052,0.,-0.000307273,-0.0000448978,-0.00238158
99,0,0.021,0.056,0.,-0.000333251,-0.0000472621,-0.00263057
100,0,0.021,0.06,0.,-0.000367146,-0.0000502837,-0.00287059
101,0,0.0250909,0.06,0.,-0.000347309,-0.000029047,0.00027684
102,0,0.0291818,0.06,0.,-0.000332998,-0.0000204765,0.00298873
103,0,0.0332727,0.06,0.,-0.000322733,-0.0000208204,0.00537233
104,0,0.0373636,0.06,0.,-0.000316499,-0.0000271492,0.00753901
105,0,0.0414545,0.06,0.,-0.000314065,-0.000036755,0.00958743
106,0,0.0455455,0.06,0.,-0.000315437,-0.0000471193,0.0116144
107,0,0.0496364,0.06,0.,-0.000320601,-0.0000556386,0.0137166
108,0,0.0537273,0.06,0.,-0.000329499,-0.0000597367,0.0159912
109,0,0.0578182,0.06,0.,-0.000342113,-0.0000572467,0.0185387
110,0,0.0619091,0.06,0.,-0.000359421,-0.0000455797,0.021482
111,0,0.066,0.06,0.,-0.000386668,-0.0000216429,0.0249308
